code,name,vol,silurian,devonian,penn_permian,upper_jurassic,mid_cretaceous,oligo_miocene,other,source,note
6098,East Venezuela Basin,350,0.00,0.00,0.00,0.00,0.95,0.05,0.00,adjusted,"Orinoco extra-heavy oil belt, charged by Querecual and San Antonio (Cenomanian-Santonian); the 2000 assessment covered conventional oil only, so the USGS figure of 30 billion barrels omits the belt"
2024,Mesopotamian Foredeep Basin,330,0.00,0.00,0.00,0.55,0.45,0.00,0.00,adjusted,"Sargelu and Naokelekan (Jurassic) with Garau and Sulaiy (Cretaceous); raised toward Iraqi and Kuwaiti reserves plus cumulative production"
2021,Greater Ghawar Uplift,230,0.00,0.00,0.00,0.95,0.05,0.00,0.00,adjusted,"Hanifa and Tuwaiq Mountain (Upper Jurassic) charge Ghawar; note this is a different source rock from the Silurian that charges the gas"
2030,Zagros Fold Belt,230,0.00,0.00,0.00,0.15,0.60,0.10,0.15,adjusted,"Kazhdumi (Albian) and Garau for Iranian oil; Pabdeh (Paleogene) in other; raised toward Iranian reserves plus cumulative"
5243,Alberta Basin,200,0.00,0.55,0.00,0.00,0.15,0.00,0.30,adjusted,"Athabasca and Peace River oil sands, charged from Exshaw and Duvernay (Devonian-Mississippian) and Nordegg (Lower Jurassic, in other); oil sands are excluded from the conventional assessment"
1174,West Siberian Basin,200,0.00,0.00,0.00,0.85,0.10,0.00,0.05,adjusted,"Bazhenov (Tithonian) is the oil source, unlike the Cenomanian Pokur that charges the gas"
2019,Rub Al Khali Basin,150,0.00,0.00,0.00,0.70,0.30,0.00,0.00,adjusted,"Upper Jurassic with Shuaiba and other Cretaceous sources; raised toward Emirati and Saudi reserves"
1015,Volga-Ural Region,75,0.00,0.85,0.15,0.00,0.00,0.00,0.00,adjusted,"Domanik (Frasnian); raised for cumulative production"
6099,Maracaibo Basin,75,0.00,0.00,0.00,0.00,1.00,0.00,0.00,adjusted,"La Luna (Cenomanian-Campanian); raised for cumulative production, which is large and old"
7192,Niger Delta,70,0.00,0.00,0.00,0.00,0.00,0.85,0.15,adjusted,"Akata and Agbada; raised toward Nigerian reserves plus cumulative"
2043,Sirte Basin,65,0.00,0.00,0.00,0.00,0.50,0.00,0.50,adjusted,"Sirte Shale (Campanian) in other; Rachmat and Etel (Turonian) in mid-Cretaceous; raised toward Libyan reserves"
4025,North Sea Graben,60,0.00,0.00,0.00,1.00,0.00,0.00,0.00,adjusted,"Kimmeridge Clay and Draupne; no Carboniferous contribution to oil, unlike the gas"
5044,Permian Basin,60,0.00,0.25,0.70,0.00,0.00,0.00,0.05,added,"Wolfcamp, Bone Spring and Spraberry (Permian); Woodford secondary; US not covered by the 2000 world assessment"
1016,North Caspian Basin,45,0.00,0.50,0.40,0.00,0.00,0.00,0.10,adjusted,"Tengiz, Kashagan and Karachaganak; Domanik-type Devonian-Carboniferous sources"
5305,Villahermosa Uplift,35,0.00,0.00,0.00,1.00,0.00,0.00,0.00,usgs,"Tithonian source, Mexican southeastern basins"
5047,Western Gulf,35,0.00,0.00,0.00,0.20,0.40,0.40,0.00,added,"Eagle Ford oil window (Cenomanian-Turonian); Gulf Coast Tertiary; Smackover secondary"
6036,Santos Basin,30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,adjusted,"Pre-salt Lula and Buzios, Barremian-Aptian lacustrine source; discovered after 2006 so absent from the assessment"
5097,Gulf Cenozoic OCS,25,0.00,0.00,0.00,0.00,0.00,0.85,0.15,added,"Offshore Gulf of Mexico Tertiary"
3127,Bohaiwan Basin,24.6,0.00,0.00,0.00,0.00,0.00,0.60,0.40,usgs,"Shahejie (Eocene-Oligocene) lacustrine; Daqing area excluded, see Songliao"
5010,San Joaquin Basin,22,0.00,0.00,0.00,0.00,0.00,0.85,0.15,added,"Monterey (Miocene); Kreyenhagen (Eocene) in other"
5001,Northern Alaska,20,0.00,0.00,0.00,0.00,0.40,0.00,0.60,added,"Shublik (Triassic) in other; HRZ and pebble shale (Cretaceous); Prudhoe Bay"
1112,South Caspian Basin,17.4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,usgs,"Maykop (Oligocene-Lower Miocene); Baku fields"
2023,Widyan Basin-Int. Platform,17.4,0.40,0.00,0.00,0.60,0.00,0.00,0.00,usgs,"Upper Jurassic with a Silurian contribution"
3144,Songliao Basin,15.6,0.00,0.00,0.00,0.00,1.00,0.00,0.00,usgs,"Qingshankou (Cenomanian-Turonian) lacustrine; Daqing field"
6021,Guyana-Suriname Basin,15,0.00,0.00,0.00,0.00,1.00,0.00,0.00,adjusted,"Stabroek block, Canje Formation (Cenomanian-Turonian); discovered 2015, absent from the assessment"
2054,Trias/Ghadames Basin,15.2,0.40,0.60,0.00,0.00,0.00,0.00,0.00,usgs,"Frasnian (Devonian) dominant for oil; Silurian Tanezzuft secondary"
