code,discovered,major_fields,past_frac
6098,1936,Orinoco Heavy Oil Belt; El Furrial; Oficina,0.06
2024,1927,Burgan; Rumaila; West Qurna; Majnoon; Kirkuk,
2021,1940,Ghawar; Abqaiq; Khurais; Berri,
2030,1908,Masjed Soleyman; Gachsaran; Aghajari; Ahvaz; Marun,
5243,1947,Athabasca Oil Sands; Pembina; Leduc,0.18
1174,1960,Samotlor; Priobskoye; Lyantorskoye; Fyodorovskoye,
2019,1951,Safaniya; Zuluf; Shaybah; Upper Zakum,
1015,1929,Romashkino; Tuymazinskoe; Arlanskoye,
6099,1914,Bolivar Coastal; Lagunillas; Tia Juana,
7192,1956,Oloibiri; Forcados Yokri; Bonga,
2043,1959,Zelten (Nasser); Sarir; Bouri,
5044,1921,Spraberry Trend; Yates; Wasson,0.58
4025,1969,Ekofisk; Forties; Statfjord; Johan Sverdrup,
1016,1978,Tengiz; Kashagan; Karachaganak,
5305,1976,Cantarell; Ku-Maloob-Zaap,
5047,1930,East Texas; Eagle Ford,0.7
6036,2006,Tupi (Lula); Buzios; Mero,0.13
5097,1947,Thunder Horse; Mars-Ursa,0.7
3127,1961,Shengli; Jidong Nanpu,
5010,1894,Midway-Sunset; Kern River; South Belridge,0.68
5001,1967,Prudhoe Bay; Kuparuk River,0.7
1112,1871,Azeri-Chirag-Guneshli; Balakhany,
2023,1957,Khurais area,
3144,1959,Daqing,
2054,1956,Hassi Messaoud,
6021,2015,Liza; Payara,0.04
7203,1966,Kizomba Complex; Girassol,
3808,1944,Minas; Duri,
1008,1930,Usinskoye; Nizhne-Chutinskoe,
5031,1951,Bakken Formation; Parshall,0.4
5049,1943,Tuscaloosa Marine Shale,0.7
6035,1974,Marlim; Roncador; Albacora,
5014,1892,Wilmington; Long Beach,0.93
2071,1965,Morgan; Belayim,
1109,1961,Uzen; Zhetybay; Kalamkas,
8043,1965,Mumbai High,
5048,1930,East Texas Oil Field,0.85
5058,1917,Cement; Sho-Vel-Tum,0.8
3701,1929,Seria; Champion,
5301,1904,Chicontepec; Poza Rica; Golden Lane,
3115,1955,Karamay,
6041,1967,Shushufindi; Sacha,
5045,1917,Barnett Shale; Ranger,0.7
4061,1857,Ploiesti area,
6096,1983,Cano Limon; Cusiana; Rubiales,
5060,1903,Cushing; Glenn Pool,0.9
5013,1919,Ventura Avenue; Rincon,0.88
2020,1957,Khurais,
5064,1886,Salem; Louden,0.9
2016,1962,Yibal; Fahud,
5067,1859,Drake Well; Bradford,0.92
3930,1965,Kingfish; Halibut,
2056,1956,Zarzaitine; Edjeleh,
3703,1969,Tapis; Seligi,
5244,1951,Weyburn; Midale,
6058,1907,Comodoro Rivadavia; Canadon Seco,
3824,1971,Arjuna; Cinta,
5020,1948,Altamont-Bluebell,0.6
5034,1908,Elk Basin; Oregon Basin,0.85
5033,1908,Salt Creek; Teapot Dome,0.8
5039,1901,Wattenberg; Niobrara,0.55
5012,1901,Orcutt; Point Pedernales,0.85
3817,1897,Attaka; Badak; Handil,
4017,1981,Draugen; Heidrun; Norne,
8034,1889,Digboi; Naharkatiya,
6055,1918,Vaca Muerta; Loma Campana,
5304,1972,Samaria; Jujo-Tecominoacan,
1150,1960,Buzachi,
6090,1918,La Cira-Infantas,
3828,1922,Talang Akar; Limau,
4035,1930,Mittelplate,
2048,1971,El Borma; Ashtart,
4048,1937,Algyo,
1322,1928,Chayvo; Odoptu,
5037,1924,Lost Soldier,0.7
5059,1914,El Dorado,0.9
5022,1922,Basin Dakota,0.8
5093,1968,Hondo; Point Arguello,0.75
5011,1896,Coalinga; Cat Canyon,0.85
1210,1980,Talakan; Verkhnechonskoye,
6081,1863,La Brea-Parinas,
1009,1950,Shebelinka,
5215,1979,Hibernia; Terra Nova; Hebron,0.55
5063,1925,Niagaran reef trend,0.85
5003,1957,Swanson River; McArthur River,0.85
2014,1962,Lekhwair; Saih Rawl,
6059,1945,Manantiales; Springhill,
2004,1984,Alif; Asad al Kamil,
2022,1939,Dukhan,0.7
3948,1964,Barrow Island; Wanaea-Cossack,
